${sku},${url},${unit},${order_by}
"10001007",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001007_s_1200_1.jpg,ZWF,1
"10001032",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001032_bt_1200_1_1.jpg,BT,2
"10001037",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001037_bt_1200_1.jpg,BT,1
"10001037",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001037_bt_1200_1_1.jpg,BT,2
"10001042",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001042_bt_1200_1.jpg,BT,1
"10001042",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001042_bt_1200_1_1.jpg,BT,2
"10001045",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001045_bt_1200_1_2.jpg,BT,1
"10001045",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001045_bt_1200_1_2_1.jpg,BT,2
"10001050",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001050_bt_1200_1_2.jpg,BT,1
"10001050",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001050_bt_1200_1_2_1.jpg,BT,2
"10001053",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001053_ea_1200_1_2.jpg,EA,1
"10001059",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001059_bt_1200_1_2.jpg,BT,1
"10001059",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001059_bt_1200_1_2_1.jpg,BT,2
"10001063",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001063_bt_1200_1_2.jpg,BT,1
"10001063",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001063_bt_1200_1_2_1.jpg,BT,2
"10001065",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001065_bk_1200_1_2.jpg,GAL,1
"10001065",https://www.dohome.co.th/pub/media/catalog/product/l/i/lis_100000134_10001065_qr_1.jpg,GAL,3
"10001066",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001066_bt_1200_1_2.jpg,BT,1
"10001066",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001066_bt_1200_1_2_1.jpg,BT,2
"10001071",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001071_bt_1200_1_2.jpg,BT,1
"10001071",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001071_bt_1200_1_2_1.jpg,BT,2
"10001076",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001076_bt_1200_1_2.jpg,BT,1
"10001076",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001076_bt_1200_1_2_1.jpg,BT,2
"10001081",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001081_bt_1200_1_2.jpg,BT,1
"10001081",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001081_bt_1200_1_2_1.jpg,BT,2
"10001082",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001082_bt_1200_1_2.jpg,BT,1
"10001082",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001082_bt_1200_1_2_1.jpg,BT,2
"10001083",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001083_bt_1200_1_2.jpg,BT,1
"10001083",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001083_bt_1200_1_2_1.jpg,BT,2
